timestamp,raw_l,raw_r,norm_l,norm_r,correction,speed_l,speed_r
1782214260.933003,35,70,-0.033333333333333326,1.0,0.7749999999999999,13.1,5
1782214260.9839013,28,70,-0.2666666666666667,1.0,0.7749999999999999,13.1,5
1782214261.0276685,18,70,-0.6,1.0,0.8285714285714287,13.314285714285715,5
1782214261.1955326,4,68,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.2398481,4,67,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.2920992,4,66,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.4695833,30,68,-0.19999999999999996,1.0,0.775,13.1,5
1782214261.515407,41,67,0.16666666666666674,1.0,0.0,10.0,10.0
1782214261.5596912,47,67,0.3666666666666667,1.0,0.0,10.0,10.0
1782214261.7455764,52,63,0.5333333333333334,0.8999999999999999,0.0,10.0,10.0
1782214261.797238,52,62,0.5333333333333334,0.8666666666666667,0.0,10.0,10.0
1782214261.8406775,51,62,0.5,0.8666666666666667,0.0,10.0,10.0
